datetime,open,high,low,close,volume
2025-07-25,214.7,215.24,213.73,214.39,3376020
2025-07-24,213.89999,215.69,213.53,213.75999,45987000
2025-07-23,215.0,215.14999,212.41,214.14999,46989300
2025-07-22,213.14,214.95,212.23,214.39999,46404100
2025-07-21,212.10001,215.78,211.63,212.48,51377400
2025-07-18,210.87,211.78999,209.7,211.17999,48974600
2025-07-17,210.57001,211.8,209.59,210.02,48068100
2025-07-16,210.3,212.39999,208.64,210.16,47490500
2025-07-15,209.22,211.89,208.92,209.11,42296300
2025-07-14,209.92999,210.91,207.53999,208.62,38840100
