datetime,open,high,low,close,volume
2025-08-04,190.28999,195.27,190.12,195.03999,31503400
2025-08-01,189.03,190.83,187.82001,189.13,34832200
2025-07-31,195.71001,195.99001,191.09,191.89999,51329200
2025-07-30,195.60001,197.60001,194.69,196.53,32445400
2025-07-29,192.42999,195.92,192.08,195.75,41389200
2025-07-28,193.64999,194.05,190.84,192.58,38139500
2025-07-25,191.98,194.33,191.25999,193.17999,39785900
2025-07-24,197.03,197.95,191.0,192.17,74881700
2025-07-23,191.5,192.53,189.17999,190.23,58681900
2025-07-22,191.5,191.64999,187.46001,191.34,44660200
2025-07-21,186.25,190.28999,186.14999,190.10001,45803100
2025-07-18,185.39999,186.42,183.71001,185.06,34014500
2025-07-17,182.14,184.06,180.48,183.58,31992600
2025-07-16,183.24001,184.33,182.03,182.97,33104200
2025-07-15,182.81,184.22,181.60001,182.0,33448300
2025-07-14,181.00999,183.67,179.67999,181.56,32536600
2025-07-11,176.78999,181.42999,176.48,180.19,34282900
2025-07-10,175.63,178.42999,174.38,177.62,29252400
2025-07-09,175.25,179.44,172.77,176.62,43025600
2025-07-08,177.85001,177.95,172.81,174.36,40442500
2025-07-07,179.06,179.3,175.67999,176.78999,34175600
2025-07-03,178.5,179.67,177.05,179.53,21689700
2025-07-02,175.53999,178.86,175.07001,178.64,29128900
2025-07-01,175.74001,176.09,173.53,175.84,35904500
2025-06-30,180.78,181.23,174.58,176.23,63378900
2025-06-27,173.53999,178.67999,171.73,178.53,108140200
2025-06-26,172.42999,173.69,169.94,173.53999,31796700
2025-06-25,167.63,172.36,167.55,170.67999,35479000
2025-06-24,166.92,168.22,166.13,166.77,40524300
2025-06-23,166.27,167.34,162.0,165.19,57671000
2025-06-20,173.95,174.34,165.46001,166.64,75659900
2025-06-18,176.00999,176.56,173.2,173.32001,28707500
2025-06-17,175.7,177.36,174.58,175.95,24973000
2025-06-16,174.73,176.94,174.64999,176.77,27389200
2025-06-13,172.44,177.13,172.39,174.67,27663100
2025-06-12,176.17999,176.72,174.75,175.7,20941900
2025-06-11,179.77,180.37,176.75,177.35001,31646800
2025-06-10,176.2,181.11,174.91,178.60001,61766100
2025-06-09,174.53999,176.47,174.37,176.09,28935900
2025-06-06,170.83,174.5,170.83,173.67999,35731800
2025-06-05,170.34,170.92999,167.59,168.21001,36379100
2025-06-04,166.74001,168.22,166.36,168.05,26900800
2025-06-03,167.49001,168.48,165.28,166.17999,45084900
2025-06-02,167.84,169.87,167.39,169.03,38612300
2025-05-30,171.35001,172.21001,167.44,171.74001,52639900
2025-05-29,174.0,174.42,170.63,171.86,29373800
2025-05-28,173.16,175.27,171.91,172.36,34784000
2025-05-27,170.16,173.17,170.0,172.89999,37995700
2025-05-23,169.06,169.96001,167.89,168.47,35211400
2025-05-22,171.85001,176.77,170.71001,170.87,74864400
2025-05-21,163.69,173.14,163.56,168.56,73416000
2025-05-20,166.42999,168.5,162.89999,163.98,46607700
2025-05-19,164.50999,166.64,164.22,166.53999,30426100
2025-05-16,167.73,169.35001,165.62,166.19,42846900
2025-05-15,165.84,166.21001,162.37,163.96001,33146700
2025-05-14,159.96001,167.0,159.61,165.37,48755900
2025-05-13,158.78999,160.57001,156.16,159.53,42382100
2025-05-12,157.49001,159.10001,156.25,158.46001,44138800
2025-05-09,154.17,155.05,152.2,152.75,32435300
2025-05-08,155.0,155.92999,152.89999,154.28,57498700
2025-05-07,164.08,165.0,147.84,151.38,127490100
2025-05-06,162.17,164.8,161.19,163.23,21277200
2025-05-05,163.0,165.39,162.72,164.21001,21341800
2025-05-02,163.41,164.97,161.87,164.03,25715000
2025-05-01,160.45,161.95,158.91,161.3,30203200
2025-04-30,157.98,159.27,155.39999,158.8,34981100
2025-04-29,160.32001,160.74001,157.52,160.16,26809000
2025-04-28,162.42999,163.14999,158.60001,160.61,29745800
2025-04-25,165.07001,166.10001,161.03999,161.96001,56034000
2025-04-24,156.14999,159.59,155.78999,159.28,45894000
2025-04-23,155.61,157.53,153.81,155.35001,31128800
2025-04-22,148.89,152.19,148.53999,151.47,26971800
2025-04-21,148.88,148.95,146.10001,147.67,26049100
2025-04-17,154.28999,154.67999,148.5,151.16,32938500
2025-04-16,153.10001,155.89,151.50999,153.33,28187400
2025-04-15,159.13,159.64999,155.21001,156.31,27551500
2025-04-14,160.0,161.72,157.56,159.07001,30333000
2025-04-11,152.89999,157.67,152.82001,157.14,33636200
2025-04-10,156.53999,157.72,149.92999,152.82001,48022000
2025-04-09,144.42,159.55,143.91,158.71001,70406200
2025-04-08,151.22,152.24001,143.03,144.7,52200200
2025-04-07,141.55,152.85001,140.53,146.75,76794100
2025-04-04,148.00999,151.07001,145.38,145.60001,62259500
2025-04-03,151.11,152.78,150.39,150.72,46883400
2025-04-02,155.14999,158.41,154.7,157.03999,25041700
2025-04-01,153.62,158.10001,153.62,157.07001,30672900
2025-03-31,153.11,155.53999,150.66,154.64,54603500
2025-03-28,160.49001,161.82001,153.63,154.33,48669300
2025-03-27,164.63,165.42,162.0,162.24001,24508300
2025-03-26,169.0,169.61,164.84,165.06,28901600
