datetime,open,high,low,close,volume
2025-07-28,174.02,177.0,173.97,176.75,139508100
2025-07-25,173.61,174.72,172.96001,173.5,122316800
2025-07-24,172.44,173.83,171.3,173.74001,128984600
2025-07-23,169.53,171.25999,167.97,170.78,154082200
2025-07-22,171.34,171.39,164.58,167.03,193114300
2025-07-21,172.75,173.38,171.0,171.38,123126100
2025-07-18,173.64,174.25,171.25999,172.41,146456400
2025-07-17,172.02,174.16,170.83,173.0,160841100
2025-07-16,171.06,171.75,168.89999,171.37,158831500
2025-07-15,171.19,172.39999,169.2,170.7,230627400
2025-07-14,165.37,165.49001,162.02,164.07001,136975800
2025-07-11,163.72,167.89,163.47,164.92,193633300
2025-07-10,164.32001,164.5,161.61,164.10001,167704100
2025-07-09,161.22,164.42,161.16,162.88,183656400
2025-07-08,159.33,160.22,158.39,160.0,138133000
2025-07-07,158.2,159.31,157.34,158.24001,140139000
2025-07-03,158.37,160.98,157.77,159.34,143716100
2025-07-02,152.98,157.60001,152.97,157.25,171224100
2025-07-01,156.28999,157.2,151.49001,153.3,213143600
2025-06-30,158.39999,158.66,155.96001,157.99001,194580300
2025-06-27,156.03999,158.71001,155.25999,157.75,263234500
2025-06-26,155.98,156.72,154.0,155.02,198145700
2025-06-25,149.27,154.45,149.25999,154.31,269146500
2025-06-24,145.56,147.96001,145.5,147.89999,187566100
2025-06-23,142.5,144.78,142.03,144.17,154308900
2025-06-20,145.45,146.2,142.64999,143.85001,242956200
2025-06-18,144.00999,145.64999,143.12,145.48,161494100
2025-06-17,144.49001,145.22,143.78,144.12,139108000
2025-06-16,143.35001,146.17999,143.2,144.69,183133700
2025-06-13,142.48,143.58,140.85001,141.97,180820600
2025-06-12,141.97,145.0,141.85001,145.0,162365000
2025-06-11,144.61,144.99001,141.87,142.83,167694000
2025-06-10,142.69,144.28999,141.53,143.96001,155881900
2025-06-09,143.19,145.0,141.94,142.63,185114500
2025-06-06,142.50999,143.27,141.50999,141.72,153986200
2025-06-05,142.17,144.0,138.83,139.99001,231397900
2025-06-04,142.19,142.39,139.53999,141.92,167120800
2025-06-03,138.78,142.0,137.95,141.22,225578800
2025-06-02,135.49001,138.12,135.39999,137.38,197663100
2025-05-30,138.72,139.62,132.92,135.13,333170900
2025-05-29,142.25,143.49001,137.91,139.19,369241900
2025-05-28,136.03,137.25,134.78999,134.81,304021100
2025-05-27,134.14999,135.66,133.31,135.5,192953600
2025-05-23,130.0,132.67999,129.16,131.28999,198821300
2025-05-22,132.23,134.25,131.55,132.83,187344000
2025-05-21,133.06,137.39999,130.59,131.8,270608700
2025-05-20,134.28999,134.58,132.62,134.38,161514200
2025-05-19,132.39,135.87,132.39,135.57001,193154600
2025-05-16,136.22,136.35001,133.46001,135.39999,226542500
2025-05-15,134.28999,136.3,132.66,134.83,226632600
2025-05-14,133.2,135.44,131.67999,135.34,281180800
2025-05-13,124.98,131.22,124.47,129.92999,330430100
2025-05-12,121.97,123.0,120.28,123.0,225023300
2025-05-09,117.35,118.23,115.21,116.65,132972200
2025-05-08,118.25,118.68,115.85,117.37,198428100
2025-05-07,113.05,117.68,112.28,117.06,206758800
2025-05-06,111.48,114.74,110.82,113.54,158525600
2025-05-05,112.91,114.67,112.66,113.82,133163200
2025-05-02,114.18,115.4,113.37,114.5,190194800
2025-05-01,113.08,114.94,111.3,111.61,236121500
2025-04-30,104.47,108.92,104.08,108.92,235044600
2025-04-29,107.67,110.2,107.44,109.02,170444300
2025-04-28,109.69,110.37,106.02,108.73,207708500
2025-04-25,106.85,111.92,105.73,111.01,251064700
2025-04-24,103.48,106.54,103.11,106.43,220815000
2025-04-23,104.52,104.8,102.02,102.71,247526000
2025-04-22,98.78,99.81,97.28,98.89,241004800
2025-04-21,98.77,99.44,95.04,96.91,288501100
2025-04-17,104.45,104.47,100.05,101.49,290833400
2025-04-16,104.55,106.79,100.45,104.49,397016900
2025-04-15,110.97,113.62,110.5,112.2,228966900
2025-04-14,114.11,114.29,109.07,110.71,264705000
2025-04-11,108.5,111.55,107.48,110.93,313417300
2025-04-10,109.37,110.86,99.15,107.57,437812400
2025-04-09,98.89,115.1,97.53,114.33,612918300
2025-04-08,103.81,105.85,94.46,96.3,476243400
2025-04-07,87.46,101.75,86.62,97.64,611041300
2025-04-04,98.91,100.13,92.11,94.31,532273800
2025-04-03,103.51,105.63,101.6,101.8,338769400
2025-04-02,107.29,111.98,106.79,110.42,220601200
2025-04-01,108.52,110.2,106.47,110.15,222614000
2025-03-31,105.13,110.96,103.65,108.38,299212700
2025-03-28,111.49,112.87,109.07,109.67,229872500
2025-03-27,111.35,114.45,110.66,111.43,236902100
2025-03-26,118.73,118.84,112.71,113.76,293463300
2025-03-25,120.55,121.29,118.92,120.69,167447200
2025-03-24,119.88,122.22,119.34,121.41,228452500
2025-03-21,116.94,117.99,115.42,117.7,266498500
2025-03-20,116.55,120.2,116.47,118.53,248829700
2025-03-19,117.27,120.45,115.68,117.52,273426200
